RowMin,RowMax,ByPath,ByProject,PopID,Pop1,Pop2
55,55,NULL,NULL,5097,50,97
55,55,NULL,NULL,5153,51,53
55,55,NULL,NULL,5154,51,54
55,55,NULL,NULL,5155,51,55
55,55,NULL,NULL,5156,51,56
55,55,NULL,NULL,5157,51,57
55,55,NULL,NULL,5158,51,58
55,55,NULL,NULL,5159,51,59
55,55,NULL,NULL,5160,51,60
55,55,NULL,NULL,5161,51,61
55,55,NULL,NULL,5162,51,62
55,55,NULL,NULL,5163,51,63
55,55,NULL,NULL,5164,51,64
55,55,NULL,NULL,5165,51,65
55,55,NULL,NULL,5166,51,66
55,55,NULL,NULL,5167,51,67
55,55,NULL,NULL,5168,51,68
55,55,NULL,NULL,5169,51,69
55,55,NULL,NULL,5170,51,70
55,55,NULL,NULL,5171,51,71
55,55,NULL,NULL,5172,51,72
55,55,NULL,NULL,5173,51,73
55,55,NULL,NULL,5174,51,74
55,55,NULL,NULL,5175,51,75
55,55,NULL,NULL,5176,51,76
55,55,NULL,NULL,5177,51,77
55,55,NULL,NULL,5178,51,78
55,55,NULL,NULL,5179,51,79
55,55,NULL,NULL,5180,51,80
55,55,NULL,NULL,5181,51,81
55,55,NULL,NULL,5182,51,82
55,55,NULL,NULL,5183,51,83
55,55,NULL,NULL,5184,51,84
55,55,NULL,NULL,5185,51,85
55,55,NULL,NULL,5197,51,97
55,55,NULL,NULL,5253,52,53
55,55,NULL,NULL,5254,52,54
55,55,NULL,NULL,5255,52,55
55,55,NULL,NULL,5256,52,56
55,55,NULL,NULL,5257,52,57
55,55,NULL,NULL,5258,52,58
55,55,NULL,NULL,5259,52,59
55,55,NULL,NULL,5260,52,60
55,55,NULL,NULL,5261,52,61
55,55,NULL,NULL,5262,52,62
55,55,NULL,NULL,5263,52,63
55,55,NULL,NULL,5264,52,64
55,55,NULL,NULL,5265,52,65
55,55,NULL,NULL,5266,52,66
55,55,NULL,NULL,5267,52,67
55,55,NULL,NULL,5268,52,68
55,55,NULL,NULL,5269,52,69
55,55,NULL,NULL,5270,52,70
55,55,NULL,NULL,5271,52,71
55,55,NULL,NULL,5272,52,72
55,55,NULL,NULL,5273,52,73
55,55,NULL,NULL,5274,52,74
55,55,NULL,NULL,5275,52,75
55,55,NULL,NULL,5276,52,76
55,55,NULL,NULL,5277,52,77
55,55,NULL,NULL,5278,52,78
55,55,NULL,NULL,5279,52,79
55,55,NULL,NULL,5280,52,80
55,55,NULL,NULL,5281,52,81
55,55,NULL,NULL,5282,52,82
55,55,NULL,NULL,5283,52,83
55,55,NULL,NULL,5284,52,84
55,55,NULL,NULL,5285,52,85
55,55,NULL,NULL,5297,52,97
55,55,NULL,1,50,0,50
55,55,NULL,1,53,0,53
55,55,NULL,1,1190,0,1190
55,55,NULL,1,1191,0,1191
55,55,NULL,1,1290,0,1290
55,55,NULL,1,1291,0,1291
56,56,NULL,NULL,0,0,0
56,56,NULL,NULL,10,0,10
56,56,NULL,NULL,11,0,11
57,57,NULL,NULL,50,0,50
57,57,NULL,NULL,53,0,53
63,66,NULL,NULL,0,0,0
63,66,NULL,NULL,10,0,10
63,66,NULL,NULL,11,0,11
63,66,NULL,NULL,12,0,12
63,66,NULL,NULL,13,0,13
63,66,NULL,NULL,14,0,14
63,66,NULL,NULL,15,0,15
63,66,NULL,NULL,16,0,16
63,66,NULL,NULL,17,0,17
101,136,NULL,NULL,0,0,0
101,136,NULL,NULL,10,0,10
101,136,NULL,NULL,11,0,11
101,136,NULL,NULL,12,0,12
101,136,NULL,NULL,13,0,13
101,136,NULL,NULL,14,0,14
101,136,NULL,NULL,15,0,15
101,136,NULL,NULL,16,0,16
101,136,NULL,NULL,17,0,17
901,920,NULL,NULL,0,0,0
